Entity,Code,Year,GDP per capita
United States,USA,1869,4943.13
United States,USA,1870,4803
United States,USA,1871,4918.71
United States,USA,1872,4991.98
United States,USA,1873,5116.69
United States,USA,1874,4964.99
United States,USA,1875,5105.12
United States,USA,1876,5049.84
United States,USA,1877,5098.69
United States,USA,1878,5198.97
United States,USA,1879,5715.78
United States,USA,1880,6255.73
United States,USA,1881,6317.44
United States,USA,1882,6557.85
United States,USA,1883,6559.13
United States,USA,1884,6523.13
United States,USA,1885,6424.14
United States,USA,1886,6471.71
United States,USA,1887,6616.98
United States,USA,1888,6447.28
United States,USA,1889,6705.69
United States,USA,1890,6664.55
United States,USA,1891,6811.11
United States,USA,1892,7324.06
United States,USA,1893,6834.25
United States,USA,1894,6510.28
United States,USA,1895,7159.51
United States,USA,1896,6885.67
United States,USA,1897,7406.34
United States,USA,1898,7426.91
United States,USA,1899,7959.15
United States,USA,1900,8037.57
United States,USA,1901,8770.36
United States,USA,1902,8684.23
United States,USA,1903,8941.35
United States,USA,1904,8663.66
United States,USA,1905,9121.33
United States,USA,1906,9980.11
United States,USA,1907,9950.54
United States,USA,1908,8975.98
United States,USA,1909,9798.12
United States,USA,1910,9636.78
United States,USA,1911,9735.89
United States,USA,1912,9976.57
United States,USA,1913,10107.97
United States,USA,1914,9096.37
United States,USA,1915,9164.18
United States,USA,1916,10222.32
United States,USA,1917,9769.08
United States,USA,1918,10471.31
United States,USA,1919,10449.78
United States,USA,1920,10152.93
United States,USA,1921,9674.88
United States,USA,1922,10009.72
United States,USA,1923,11071.24
United States,USA,1924,11126.71
United States,USA,1925,11149.77
United States,USA,1926,11647.77
United States,USA,1927,11532.4
United States,USA,1928,11451.07
United States,USA,1929,11954.24
United States,USA,1930,10694.98
United States,USA,1931,9930.96
United States,USA,1932,8380.5
United States,USA,1933,8048.22
United States,USA,1934,8667.09
United States,USA,1935,9680.84
United States,USA,1936,10568.01
United States,USA,1937,11295.1
United States,USA,1938,10526.13
United States,USA,1939,11171.45
United States,USA,1940,12005.1
United States,USA,1941,13553.4
United States,USA,1942,14869.86
United States,USA,1943,16050.22
United States,USA,1944,16999.33
United States,USA,1945,16477.55
United States,USA,1946,14822.47
United States,USA,1947,14311.55
United States,USA,1948,14734.23
United States,USA,1949,14196.67
United States,USA,1950,15240
United States,USA,1951,16125
United States,USA,1952,16444
United States,USA,1953,16917
United States,USA,1954,16512
United States,USA,1955,17370
United States,USA,1956,17397
United States,USA,1957,17406
United States,USA,1958,16946
United States,USA,1959,17900
United States,USA,1960,18057
United States,USA,1961,18175
United States,USA,1962,18976
United States,USA,1963,19514
United States,USA,1964,20360
United States,USA,1965,21390
United States,USA,1966,22529
United States,USA,1967,22842
United States,USA,1968,23691
United States,USA,1969,24195
United States,USA,1970,23958
United States,USA,1971,24394
United States,USA,1972,25414
United States,USA,1973,26602
United States,USA,1974,26286
United States,USA,1975,25956
United States,USA,1976,27058
United States,USA,1977,28001
United States,USA,1978,29286
United States,USA,1979,29949
United States,USA,1980,29611
United States,USA,1981,30056
United States,USA,1982,29210
United States,USA,1983,30158
United States,USA,1984,32076
United States,USA,1985,33023
United States,USA,1986,33850
United States,USA,1987,34730
United States,USA,1988,35863
United States,USA,1989,36756
United States,USA,1990,36982
United States,USA,1991,36463.96
United States,USA,1992,37240.3
United States,USA,1993,37761.54
United States,USA,1994,38807.28
United States,USA,1995,39390.63
United States,USA,1996,40412.75
United States,USA,1997,41722.67
United States,USA,1998,43072.76
United States,USA,1999,44575.85
United States,USA,2000,45886.47
United States,USA,2001,45878.01
United States,USA,2002,46266.3
United States,USA,2003,47158
United States,USA,2004,48492.72
United States,USA,2005,49654.76
United States,USA,2006,50489.86
United States,USA,2007,50901.74
United States,USA,2008,50275.75
United States,USA,2009,48452.93
United States,USA,2010,49266.92
United States,USA,2011,49675
United States,USA,2012,50394
United States,USA,2013,50863
United States,USA,2014,51664
United States,USA,2015,52591
United States,USA,2016,53015
United States,USA,2017,54007.77
United States,USA,2018,55334.74
Japan,JPN,730,597.84
Japan,JPN,1000,1009.65
Japan,JPN,1120,926.97
Japan,JPN,1280,841.11
Japan,JPN,1450,866.55
Japan,JPN,1600,1061
Japan,JPN,1700,1073
Japan,JPN,1721,1073.25
Japan,JPN,1750,953
Japan,JPN,1800,1317
Japan,JPN,1804,1316.52
Japan,JPN,1820,1317
Japan,JPN,1846,1435.77
Japan,JPN,1850,1436
Japan,JPN,1870,1580
Japan,JPN,1874,1607.49
Japan,JPN,1885,1728.68
Japan,JPN,1886,1831.88
Japan,JPN,1887,1847.53
Japan,JPN,1888,1723.57
Japan,JPN,1889,1754.53
Japan,JPN,1890,1853.58
Japan,JPN,1891,1749.74
Japan,JPN,1892,1841.7
Japan,JPN,1893,1832.44
Japan,JPN,1894,2016.42
Japan,JPN,1895,2021.83
Japan,JPN,1896,1904.44
Japan,JPN,1897,1904.51
Japan,JPN,1898,2232.85
Japan,JPN,1899,2104.56
Japan,JPN,1900,2123.25
Japan,JPN,1901,2161.51
Japan,JPN,1902,2012.77
Japan,JPN,1903,2203.87
Japan,JPN,1904,2178.99
Japan,JPN,1905,2111.25
Japan,JPN,1906,2328.98
Japan,JPN,1907,2358.22
Japan,JPN,1908,2356.92
Japan,JPN,1909,2333.2
Japan,JPN,1910,2316.98
Japan,JPN,1911,2399.77
Japan,JPN,1912,2419.71
Japan,JPN,1913,2430.63
Japan,JPN,1914,2357.8
Japan,JPN,1915,2512.06
Japan,JPN,1916,2829.29
Japan,JPN,1917,2940.63
Japan,JPN,1918,2973.49
Japan,JPN,1919,3219.31
Japan,JPN,1920,2973.96
Japan,JPN,1921,3244.35
Japan,JPN,1922,3243.83
Japan,JPN,1923,3243.55
Japan,JPN,1924,3316.36
Japan,JPN,1925,3414.35
Japan,JPN,1926,3358.54
Japan,JPN,1927,3346.89
Japan,JPN,1928,3554.12
Japan,JPN,1929,3665.09
Japan,JPN,1930,3334.11
Japan,JPN,1931,3320.81
Japan,JPN,1932,3529.29
Japan,JPN,1933,3786.8
Japan,JPN,1934,3755.69
Japan,JPN,1935,3825.3
Japan,JPN,1936,3985.55
Japan,JPN,1937,4074.92
Japan,JPN,1938,4256.84
Japan,JPN,1939,4803.78
Japan,JPN,1940,4882.4
Japan,JPN,1941,4986.24
Japan,JPN,1942,4938.54
Japan,JPN,1943,4825.65
Japan,JPN,1944,4816.11
Japan,JPN,1945,3677.67
Japan,JPN,1946,2771.37
Japan,JPN,1947,2710.95
Japan,JPN,1948,2857.23
Japan,JPN,1949,2866.77
Japan,JPN,1950,3062
Japan,JPN,1951,3389
Japan,JPN,1952,3724
Japan,JPN,1953,3944
Japan,JPN,1954,4116
Japan,JPN,1955,4417
Japan,JPN,1956,4699
Japan,JPN,1957,4999
Japan,JPN,1958,5243
Japan,JPN,1959,5665
Japan,JPN,1960,6354
Japan,JPN,1961,7055
Japan,JPN,1962,7614
Japan,JPN,1963,8176
Japan,JPN,1964,9035
Japan,JPN,1965,9459
Japan,JPN,1966,10370
Japan,JPN,1967,11400
Japan,JPN,1968,12725
Japan,JPN,1969,14145
Japan,JPN,1970,15484
Japan,JPN,1971,16004
Japan,JPN,1972,17110
Japan,JPN,1973,18226
Japan,JPN,1974,17765
Japan,JPN,1975,18082
Japan,JPN,1976,18600
Japan,JPN,1977,19230
Japan,JPN,1978,20060
Japan,JPN,1979,20982
Japan,JPN,1980,21404
Japan,JPN,1981,21924
Japan,JPN,1982,22440
Japan,JPN,1983,22805
Japan,JPN,1984,23548
Japan,JPN,1985,24437
Japan,JPN,1986,24992
Japan,JPN,1987,25904
Japan,JPN,1988,27393
Japan,JPN,1989,28601
Japan,JPN,1990,29949
Japan,JPN,1991,30837.43
Japan,JPN,1992,30977.81
Japan,JPN,1993,30920.66
Japan,JPN,1994,31135.43
Japan,JPN,1995,31887.28
Japan,JPN,1996,32784.16
Japan,JPN,1997,33038.29
Japan,JPN,1998,32558.19
Japan,JPN,1999,32394.52
Japan,JPN,2000,33210.81
Japan,JPN,2001,33246.39
Japan,JPN,2002,33195.4
Japan,JPN,2003,33619.95
Japan,JPN,2004,34313.56
Japan,JPN,2005,34857.76
Japan,JPN,2006,35333.11
Japan,JPN,2007,35892.71
Japan,JPN,2008,35496.23
Japan,JPN,2009,33590.01
Japan,JPN,2010,35011.4
Japan,JPN,2011,34979
Japan,JPN,2012,35580
Japan,JPN,2013,36354
Japan,JPN,2014,36537
Japan,JPN,2015,37031
Japan,JPN,2016,37465
Japan,JPN,2017,38414.86
Japan,JPN,2018,38673.81
Germany,DEU,1500,1827
Germany,DEU,1600,1286
Germany,DEU,1650,1511
Germany,DEU,1700,1497
Germany,DEU,1750,1674
Germany,DEU,1800,1572
Germany,DEU,1820,1572
Germany,DEU,1850,2276
Germany,DEU,1851,2244
Germany,DEU,1852,2273
Germany,DEU,1853,2252
Germany,DEU,1854,2300
Germany,DEU,1855,2263
Germany,DEU,1856,2440
Germany,DEU,1857,2541
Germany,DEU,1858,2509
Germany,DEU,1859,2495
Germany,DEU,1860,2613
Germany,DEU,1861,2523
Germany,DEU,1862,2622
Germany,DEU,1863,2788
Germany,DEU,1864,2837
Germany,DEU,1865,2821
Germany,DEU,1866,2823
Germany,DEU,1867,2815
Germany,DEU,1868,2966
Germany,DEU,1869,2965
Germany,DEU,1870,2931
Germany,DEU,1871,2896
Germany,DEU,1872,3078
Germany,DEU,1873,3186
Germany,DEU,1874,3386
Germany,DEU,1875,3366
Germany,DEU,1876,3301
Germany,DEU,1877,3241
Germany,DEU,1878,3352
Germany,DEU,1879,3234
Germany,DEU,1880,3174
Germany,DEU,1881,3228
Germany,DEU,1882,3258
Germany,DEU,1883,3416
Germany,DEU,1884,3472
Germany,DEU,1885,3532
Germany,DEU,1886,3524
Germany,DEU,1887,3626
Germany,DEU,1888,3732
Germany,DEU,1889,3792
Germany,DEU,1890,3870
Germany,DEU,1891,3821
Germany,DEU,1892,3936
Germany,DEU,1893,4089
Germany,DEU,1894,4141
Germany,DEU,1895,4281
Germany,DEU,1896,4368
Germany,DEU,1897,4423
Germany,DEU,1898,4540
Germany,DEU,1899,4631
Germany,DEU,1900,4758
Germany,DEU,1901,4576
Germany,DEU,1902,4611
Germany,DEU,1903,4795
Germany,DEU,1904,4914
Germany,DEU,1905,4948
Germany,DEU,1906,5024
Germany,DEU,1907,5172
Germany,DEU,1908,5187
Germany,DEU,1909,5220
Germany,DEU,1910,5337
Germany,DEU,1911,5432
Germany,DEU,1912,5617
Germany,DEU,1913,5815
Germany,DEU,1914,4876
Germany,DEU,1915,4621
Germany,DEU,1916,4678
Germany,DEU,1917,4705
Germany,DEU,1918,4755
Germany,DEU,1919,4122
Germany,DEU,1920,4457
Germany,DEU,1921,4906
Germany,DEU,1922,5310
Germany,DEU,1923,4383
Germany,DEU,1924,5099
Germany,DEU,1925,5630
Germany,DEU,1926,5746
Germany,DEU,1927,6282
Germany,DEU,1928,6519
Germany,DEU,1929,6457
Germany,DEU,1930,6333
Germany,DEU,1931,5821
Germany,DEU,1932,5359
Germany,DEU,1933,5668
Germany,DEU,1934,6150
Germany,DEU,1935,6567
Germany,DEU,1936,7095
Germany,DEU,1937,7468
Germany,DEU,1938,7960
Germany,DEU,1939,8617
Germany,DEU,1940,8612
Germany,DEU,1941,9103
Germany,DEU,1942,9149
Germany,DEU,1943,9389
Germany,DEU,1944,9698
Germany,DEU,1945,7195
Germany,DEU,1946,3534
Germany,DEU,1947,3883
Germany,DEU,1948,4517
Germany,DEU,1949,5231
Germany,DEU,1950,6186
Germany,DEU,1951,6704
Germany,DEU,1952,7257
Germany,DEU,1953,7818
Germany,DEU,1954,8364
Germany,DEU,1955,9240
Germany,DEU,1956,9846
Germany,DEU,1957,10348
Germany,DEU,1958,10739
Germany,DEU,1959,11440
Germany,DEU,1960,12282
Germany,DEU,1961,12675
Germany,DEU,1962,13106
Germany,DEU,1963,13367
Germany,DEU,1964,14062
Germany,DEU,1965,14642
Germany,DEU,1966,14964
Germany,DEU,1967,14979
Germany,DEU,1968,15723
Germany,DEU,1969,16641
Germany,DEU,1970,17277
Germany,DEU,1971,17657
Germany,DEU,1972,18301
Germany,DEU,1973,19074
Germany,DEU,1974,19228
Germany,DEU,1975,19193
Germany,DEU,1976,20218
Germany,DEU,1977,20837
Germany,DEU,1978,21447
Germany,DEU,1979,22305
Germany,DEU,1980,22497
Germany,DEU,1981,22553
Germany,DEU,1982,22380
Germany,DEU,1983,22840
Germany,DEU,1984,23564
Germany,DEU,1985,24133
Germany,DEU,1986,24657
Germany,DEU,1987,25027
Germany,DEU,1988,25759
Germany,DEU,1989,26393
Germany,DEU,1990,25391
Germany,DEU,1991,26769.96
Germany,DEU,1992,27385.06
Germany,DEU,1993,27250.7
Germany,DEU,1994,28140.06
Germany,DEU,1995,28868.95
Germany,DEU,1996,29349.98
Germany,DEU,1997,30186.94
Germany,DEU,1998,31129.58
Germany,DEU,1999,32087.6
Germany,DEU,2000,33367.28
Germany,DEU,2001,34260.29
Germany,DEU,2002,34590.93
Germany,DEU,2003,34716.44
Germany,DEU,2004,35528.71
Germany,DEU,2005,36205.58
Germany,DEU,2006,38014.14
Germany,DEU,2007,39752.21
Germany,DEU,2008,40715.43
Germany,DEU,2009,38962.94
Germany,DEU,2010,41109.58
Germany,DEU,2011,43189
Germany,DEU,2012,43320
Germany,DEU,2013,43413
Germany,DEU,2014,43922
Germany,DEU,2015,44293
Germany,DEU,2016,44689
Germany,DEU,2017,45619.78
Germany,DEU,2018,46177.62
United Kingdom,GBR,1000,1151
United Kingdom,GBR,1252,1320
United Kingdom,GBR,1253,1328
United Kingdom,GBR,1254,1317
United Kingdom,GBR,1255,1285
United Kingdom,GBR,1256,1255
United Kingdom,GBR,1257,1240
United Kingdom,GBR,1258,1418
United Kingdom,GBR,1259,1191
United Kingdom,GBR,1260,1292
United Kingdom,GBR,1261,1286
United Kingdom,GBR,1262,1219
United Kingdom,GBR,1263,1205
United Kingdom,GBR,1264,1182
United Kingdom,GBR,1265,1185
United Kingdom,GBR,1266,1401
United Kingdom,GBR,1267,1313
United Kingdom,GBR,1268,1211
United Kingdom,GBR,1269,1225
United Kingdom,GBR,1270,1192
United Kingdom,GBR,1271,1177
United Kingdom,GBR,1272,1220
United Kingdom,GBR,1273,1149
United Kingdom,GBR,1274,1143
United Kingdom,GBR,1275,1304
United Kingdom,GBR,1276,1146
United Kingdom,GBR,1277,1222
United Kingdom,GBR,1278,1265
United Kingdom,GBR,1279,1048
United Kingdom,GBR,1280,1058
United Kingdom,GBR,1281,1118
United Kingdom,GBR,1282,1078
United Kingdom,GBR,1283,1019
United Kingdom,GBR,1284,1048
United Kingdom,GBR,1285,1055
United Kingdom,GBR,1286,1034
United Kingdom,GBR,1287,1125
United Kingdom,GBR,1288,1085
United Kingdom,GBR,1289,995
United Kingdom,GBR,1290,1004
United Kingdom,GBR,1291,1006
United Kingdom,GBR,1292,1060
United Kingdom,GBR,1293,1086
United Kingdom,GBR,1294,1078
United Kingdom,GBR,1295,1155
United Kingdom,GBR,1296,1202
United Kingdom,GBR,1297,1151
United Kingdom,GBR,1298,1211
United Kingdom,GBR,1299,1167
United Kingdom,GBR,1300,1159
United Kingdom,GBR,1301,1168
United Kingdom,GBR,1302,1199
United Kingdom,GBR,1303,1249
United Kingdom,GBR,1304,1130
United Kingdom,GBR,1305,1162
United Kingdom,GBR,1306,1129
United Kingdom,GBR,1307,1184
United Kingdom,GBR,1308,1199
United Kingdom,GBR,1309,1229
United Kingdom,GBR,1310,1213
United Kingdom,GBR,1311,1257
United Kingdom,GBR,1312,1224
United Kingdom,GBR,1313,1246
United Kingdom,GBR,1314,1247
United Kingdom,GBR,1315,1121
United Kingdom,GBR,1316,1072
United Kingdom,GBR,1317,1136
United Kingdom,GBR,1318,1270
United Kingdom,GBR,1319,1292
United Kingdom,GBR,1320,1266
United Kingdom,GBR,1321,1085
United Kingdom,GBR,1322,1156
United Kingdom,GBR,1323,1215
United Kingdom,GBR,1324,1122
United Kingdom,GBR,1325,1230
United Kingdom,GBR,1326,1245
United Kingdom,GBR,1327,1222
United Kingdom,GBR,1328,1135
United Kingdom,GBR,1329,1193
United Kingdom,GBR,1330,1161
United Kingdom,GBR,1331,1106
United Kingdom,GBR,1332,1163
United Kingdom,GBR,1333,1197
United Kingdom,GBR,1334,1156
United Kingdom,GBR,1335,1107
United Kingdom,GBR,1336,1159
United Kingdom,GBR,1337,1283
United Kingdom,GBR,1338,1307
United Kingdom,GBR,1339,1066
United Kingdom,GBR,1340,1194
United Kingdom,GBR,1341,1205
United Kingdom,GBR,1342,1261
United Kingdom,GBR,1343,1225
United Kingdom,GBR,1344,1307
United Kingdom,GBR,1345,1216
United Kingdom,GBR,1346,1155
United Kingdom,GBR,1347,1199
United Kingdom,GBR,1348,1229
United Kingdom,GBR,1349,1154
United Kingdom,GBR,1350,1314
United Kingdom,GBR,1351,1519
United Kingdom,GBR,1352,1574
United Kingdom,GBR,1353,1579
United Kingdom,GBR,1354,1512
United Kingdom,GBR,1355,1559
United Kingdom,GBR,1356,1537
United Kingdom,GBR,1357,1567
United Kingdom,GBR,1358,1575
United Kingdom,GBR,1359,1592
United Kingdom,GBR,1360,1581
United Kingdom,GBR,1361,1526
United Kingdom,GBR,1362,1486
United Kingdom,GBR,1363,1443
United Kingdom,GBR,1364,1603
United Kingdom,GBR,1365,1531
United Kingdom,GBR,1366,1578
United Kingdom,GBR,1367,1481
United Kingdom,GBR,1368,1471
United Kingdom,GBR,1369,1373
United Kingdom,GBR,1370,1539
United Kingdom,GBR,1371,1489
United Kingdom,GBR,1372,1347
United Kingdom,GBR,1373,1458
United Kingdom,GBR,1374,1341
United Kingdom,GBR,1375,1294
United Kingdom,GBR,1376,1495
United Kingdom,GBR,1377,1539
United Kingdom,GBR,1378,1523
United Kingdom,GBR,1379,1398
United Kingdom,GBR,1380,1462
United Kingdom,GBR,1381,1500
United Kingdom,GBR,1382,1553
United Kingdom,GBR,1383,1485
United Kingdom,GBR,1384,1680
United Kingdom,GBR,1385,1532
United Kingdom,GBR,1386,1714
United Kingdom,GBR,1387,1728
United Kingdom,GBR,1388,1599
United Kingdom,GBR,1389,1656
United Kingdom,GBR,1390,1554
United Kingdom,GBR,1391,1743
United Kingdom,GBR,1392,1967
United Kingdom,GBR,1393,1630
United Kingdom,GBR,1394,1795
United Kingdom,GBR,1395,1723
United Kingdom,GBR,1396,1738
United Kingdom,GBR,1397,1705
United Kingdom,GBR,1398,1830
United Kingdom,GBR,1399,1762
United Kingdom,GBR,1400,1717
United Kingdom,GBR,1401,1696
United Kingdom,GBR,1402,1742
United Kingdom,GBR,1403,1770
United Kingdom,GBR,1404,1801
United Kingdom,GBR,1405,1805
United Kingdom,GBR,1406,1674
United Kingdom,GBR,1407,1677
United Kingdom,GBR,1408,1552
United Kingdom,GBR,1409,1607
United Kingdom,GBR,1410,1708
United Kingdom,GBR,1411,1673
United Kingdom,GBR,1412,1635
United Kingdom,GBR,1413,1483
United Kingdom,GBR,1414,1686
United Kingdom,GBR,1415,1726
United Kingdom,GBR,1416,1665
United Kingdom,GBR,1417,1821
United Kingdom,GBR,1418,1729
United Kingdom,GBR,1419,1821
United Kingdom,GBR,1420,1778
United Kingdom,GBR,1421,1661
United Kingdom,GBR,1422,1716
United Kingdom,GBR,1423,1812
United Kingdom,GBR,1424,1827
United Kingdom,GBR,1425,1765
United Kingdom,GBR,1426,1712
United Kingdom,GBR,1427,1668
United Kingdom,GBR,1428,1567
United Kingdom,GBR,1429,1622
United Kingdom,GBR,1430,1669
United Kingdom,GBR,1431,1681
United Kingdom,GBR,1432,1664
United Kingdom,GBR,1433,1717
United Kingdom,GBR,1434,1823
United Kingdom,GBR,1435,1623
United Kingdom,GBR,1436,1515
United Kingdom,GBR,1437,1457
United Kingdom,GBR,1438,1533
United Kingdom,GBR,1439,1605
United Kingdom,GBR,1440,1623
United Kingdom,GBR,1441,1438
United Kingdom,GBR,1442,1492
United Kingdom,GBR,1443,1808
United Kingdom,GBR,1444,1810
United Kingdom,GBR,1445,1564
United Kingdom,GBR,1446,1667
United Kingdom,GBR,1447,1711
United Kingdom,GBR,1448,1772
United Kingdom,GBR,1449,1629
United Kingdom,GBR,1450,1683
United Kingdom,GBR,1451,1685
United Kingdom,GBR,1452,1663
United Kingdom,GBR,1453,1676
United Kingdom,GBR,1454,1677
United Kingdom,GBR,1455,1663
United Kingdom,GBR,1456,1680
United Kingdom,GBR,1457,1536
United Kingdom,GBR,1458,1625
United Kingdom,GBR,1459,1599
United Kingdom,GBR,1460,1598
United Kingdom,GBR,1461,1603
United Kingdom,GBR,1462,1752
United Kingdom,GBR,1463,1772
United Kingdom,GBR,1464,1615
United Kingdom,GBR,1465,1567
United Kingdom,GBR,1466,1554
United Kingdom,GBR,1467,1600
United Kingdom,GBR,1468,1669
United Kingdom,GBR,1469,1645
United Kingdom,GBR,1470,1597
United Kingdom,GBR,1471,1525
United Kingdom,GBR,1472,1575
United Kingdom,GBR,1473,1560
United Kingdom,GBR,1474,1642
United Kingdom,GBR,1475,1592
United Kingdom,GBR,1476,1475
United Kingdom,GBR,1477,1541
United Kingdom,GBR,1478,1583
United Kingdom,GBR,1479,1672
United Kingdom,GBR,1480,1718
United Kingdom,GBR,1481,1640
United Kingdom,GBR,1482,1566
United Kingdom,GBR,1483,1641
United Kingdom,GBR,1484,1623
United Kingdom,GBR,1485,1532
United Kingdom,GBR,1486,1696
United Kingdom,GBR,1487,1548
United Kingdom,GBR,1488,1579
United Kingdom,GBR,1489,1612
United Kingdom,GBR,1490,1620
United Kingdom,GBR,1491,1632
United Kingdom,GBR,1492,1649
United Kingdom,GBR,1493,1620
United Kingdom,GBR,1494,1695
United Kingdom,GBR,1495,1659
United Kingdom,GBR,1496,1605
United Kingdom,GBR,1497,1710
United Kingdom,GBR,1498,1724
United Kingdom,GBR,1499,1728
United Kingdom,GBR,1500,1697
United Kingdom,GBR,1501,1633
United Kingdom,GBR,1502,1689
United Kingdom,GBR,1503,1757
United Kingdom,GBR,1504,1758
United Kingdom,GBR,1505,1773
United Kingdom,GBR,1506,1776
United Kingdom,GBR,1507,1740
United Kingdom,GBR,1508,1760
United Kingdom,GBR,1509,1837
United Kingdom,GBR,1510,1768
United Kingdom,GBR,1511,1799
United Kingdom,GBR,1512,1715
United Kingdom,GBR,1513,1785
United Kingdom,GBR,1514,1777
United Kingdom,GBR,1515,1820
United Kingdom,GBR,1516,1800
United Kingdom,GBR,1517,1800
United Kingdom,GBR,1518,1805
United Kingdom,GBR,1519,1784
United Kingdom,GBR,1520,1755
United Kingdom,GBR,1521,1791
United Kingdom,GBR,1522,1818
United Kingdom,GBR,1523,1847
United Kingdom,GBR,1524,1866
United Kingdom,GBR,1525,1848
United Kingdom,GBR,1526,1852
United Kingdom,GBR,1527,1713
United Kingdom,GBR,1528,1722
United Kingdom,GBR,1529,1741
United Kingdom,GBR,1530,1755
United Kingdom,GBR,1531,1689
United Kingdom,GBR,1532,1741
United Kingdom,GBR,1533,1725
United Kingdom,GBR,1534,1795
United Kingdom,GBR,1535,1665
United Kingdom,GBR,1536,1639
United Kingdom,GBR,1537,1758
United Kingdom,GBR,1538,1657
United Kingdom,GBR,1539,1780
United Kingdom,GBR,1540,1713
United Kingdom,GBR,1541,1659
United Kingdom,GBR,1542,1711
United Kingdom,GBR,1543,1649
United Kingdom,GBR,1544,1734
United Kingdom,GBR,1545,1680
United Kingdom,GBR,1546,1705
United Kingdom,GBR,1547,1841
United Kingdom,GBR,1548,1755
United Kingdom,GBR,1549,1678
United Kingdom,GBR,1550,1654
United Kingdom,GBR,1551,1604
United Kingdom,GBR,1552,1528
United Kingdom,GBR,1553,1781
United Kingdom,GBR,1554,1616
United Kingdom,GBR,1555,1599
United Kingdom,GBR,1556,1295
United Kingdom,GBR,1557,1419
United Kingdom,GBR,1558,1843
United Kingdom,GBR,1559,1744
United Kingdom,GBR,1560,1753
United Kingdom,GBR,1561,1778
United Kingdom,GBR,1562,1762
United Kingdom,GBR,1563,1913
United Kingdom,GBR,1564,1843
United Kingdom,GBR,1565,1839
United Kingdom,GBR,1566,2056
United Kingdom,GBR,1567,1920
United Kingdom,GBR,1568,1911
United Kingdom,GBR,1569,1895
United Kingdom,GBR,1570,1737
United Kingdom,GBR,1571,1737
United Kingdom,GBR,1572,1675
United Kingdom,GBR,1573,1914
United Kingdom,GBR,1574,1689
United Kingdom,GBR,1575,1876
United Kingdom,GBR,1576,1929
United Kingdom,GBR,1577,1630
United Kingdom,GBR,1578,1854
United Kingdom,GBR,1579,1820
United Kingdom,GBR,1580,1716
United Kingdom,GBR,1581,1654
United Kingdom,GBR,1582,1476
United Kingdom,GBR,1583,1661
United Kingdom,GBR,1584,1597
United Kingdom,GBR,1585,1396
United Kingdom,GBR,1586,1356
United Kingdom,GBR,1587,1502
United Kingdom,GBR,1588,1690
United Kingdom,GBR,1589,1474
United Kingdom,GBR,1590,1558
United Kingdom,GBR,1591,1568
United Kingdom,GBR,1592,1692
United Kingdom,GBR,1593,1792
United Kingdom,GBR,1594,1454
United Kingdom,GBR,1595,1453
United Kingdom,GBR,1596,1379
United Kingdom,GBR,1597,1316
United Kingdom,GBR,1598,1569
United Kingdom,GBR,1599,1788
United Kingdom,GBR,1600,1691
United Kingdom,GBR,1601,1671
United Kingdom,GBR,1602,1751
United Kingdom,GBR,1603,1849
United Kingdom,GBR,1604,1967
United Kingdom,GBR,1605,1752
United Kingdom,GBR,1606,1831
United Kingdom,GBR,1607,1660
United Kingdom,GBR,1608,1571
United Kingdom,GBR,1609,1812
United Kingdom,GBR,1610,1919
United Kingdom,GBR,1611,1757
United Kingdom,GBR,1612,1675
